country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,,,,,,,,,,,,,,0.461,,,,,,,,,,,,,0.703,,,,0.668,,0.642,,0.687,,,,0.72,,,,,0.785,,0.776,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,,,,,,,0.734,,,,,,0.717,,,,,,0.703,,
Malaysia,,,,,,,,,,,,,,,,,,0.029,,,0.021,,0.016,,,0.013,,,0.018,,0.004,,,,,,,0.004,,,0.005,0.006,,,0.001,,0.0,,0.0,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,0.073,,,,,,,0.0,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.851,,,,,,,0.585,,,,,0.512,,,0.497,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.004,0.001,0.004,0.002,0.002,0.001,0.0,0.0,0.001,0.001,0.002,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0.411,,0.206,,,,,0.196,,,,0.144,,,,0.108,,,,,,0.06,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,0.005,,,,,0.002,
Mexico,,,,,,,,,,,,,,,,,,,,,,,0.071,,,0.095,,0.099,,0.207,,0.159,,0.091,,0.067,,0.06,0.067,0.042,,0.055,,0.046,,0.039,,0.038,,0.022,,0.017
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,,0.154,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,0.272,0.385,0.357,0.272,0.163,0.075,0.086,0.139,0.024,0.011,0.013,0.01,0.005,0.003,0.003,0.001,0.0,0.0,0.002,0.001,0.0
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,0.252,,,,0.097,,,,,0.013,,,0.008,0.006,0.004,,0.002,,0.006,,0.005
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.032,0.017,0.017,,,
Morocco,,,,,,,,,,,,,,,,,,0.111,,,,,,0.029,,,,,,,,0.075,,0.063,,,,,,0.031,,,,,,,0.01,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816,,,,,,0.793,,,,,,0.687,,,,,,0.629,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,0.02,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315,,,,,,0.226,,,,,,0.134,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,0.499,,,,,,,0.15,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,0.005,,,,0.002,,,0.01,,,0.01,,,,,,0.002,,,,,0.002,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.002,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363,,,,,0.242,,,0.165,,,,0.083,,,,0.073,,,,,0.032,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,0.782,,0.814,,,,,,,,,,,0.749,,0.72,,,,0.503,,,0.445,,,,
Nigeria,,,,,,,,,,,,,,,,,,,0.533,,,,,,,0.571,,,,0.635,,,,,,,0.535,,,,,,0.535,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.104,0.088,0.068,0.052,0.044,0.052,0.041,0.044,
